time_s,position_mm
69146.872023,967.9002382812499
69156.882205,967.9002382812499
69156.917729,967.8863476562499
69166.918741,967.8863476562499
69166.953841,967.87146484375
69176.954166,967.87146484375
69176.990935,967.8541015625
69186.991232,967.8541015625
69187.029375,967.8342578125
69197.029914,967.8342578125
69197.068874,967.8124296875
69207.069014,967.8124296875
69207.109839,967.7871289062499
69217.10998,967.7871289062499
69217.15229,967.75835546875
69227.152432,967.75835546875
69227.196822,967.726109375
69237.196917,967.726109375
69237.242257,967.6893984374999
69247.242358,967.6893984374999
69247.28971,967.6472304687499
69257.289849,967.6472304687499
69257.340864,967.6001015625
69267.340957,967.6001015625
69267.391726,967.5465234374999
69277.392196,967.5465234374999
69277.445905,967.48550390625
69287.446032,967.48550390625
69287.501115,967.4165468749999
69297.501971,967.4165468749999
69297.560053,967.3381640624999
69307.561043,967.3381640624999
69307.621027,967.24936328125
69317.621139,967.24936328125
69317.683995,967.1486562499999
69327.684173,967.1486562499999
69327.749424,967.0340585937499
69337.750143,967.0340585937499
69337.819486,966.904578125
69347.819791,966.904578125
69347.892767,966.7572382812499
69357.897054,966.7572382812499
69357.973383,966.5905507812499
69367.97393,966.5905507812499
69368.053156,966.40104296875
69378.053926,966.40104296875
69378.136694,966.1862343749999
69388.137514,966.1862343749999
69388.224615,965.94265234375
69398.225602,965.94265234375
69398.318192,965.66682421875
69408.319216,965.66682421875
69408.41594,965.35329296875
69418.416049,965.35329296875
69418.517289,964.9980898437499
69428.51763,964.9980898437499
69428.62485,964.5947656249999
69438.624977,964.5947656249999
69438.737896,964.1373671875
69448.738221,964.1373671875
69448.857352,963.6189492187499
69458.869118,963.6189492187499
69458.995441,963.0305820312499
69468.996405,963.0305820312499
69469.128493,962.3633359374999
69479.128991,962.3633359374999
69479.269359,961.6067929687499
69489.269486,961.6067929687499
69489.417188,960.7480546874999
69499.418127,960.7480546874999
69499.574713,959.7742226562499
69509.57484,959.7742226562499
69509.739987,958.6699179687499
69519.740086,958.6699179687499
69519.915319,957.41678515625
69529.915978,957.41678515625
69530.101015,955.9959726562499
69540.101108,955.9959726562499
69540.296053,954.3841640625
69550.297166,954.3841640625
69550.50427,952.5555625
69560.505067,952.5555625
69560.724058,950.481890625
69570.724788,950.481890625
69570.958177,948.1294140624999
69580.972176,948.1294140624999
69581.218763,945.4614218749999
69591.219512,945.4614218749999
69591.480997,942.43525
69601.481134,942.43525
69601.758125,939.00228125
69611.75891,939.00228125
69612.052915,935.1084414062499
69622.053123,935.1084414062499
69622.364496,930.69171875
69632.364769,930.69171875
69632.695275,925.6821640625
69642.6954,925.6821640625
69643.046151,919.99990625
69659.190319,919.99990625
